companyName,employees,industry,linkedin_id,page,revenue,source_url,url
Cuatrecasas,2 mil+ empleados,Despachos de abogados,13423,[4],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=4&savedSearchId=1980479034&sessionId=HsREK9pxRlOyzkrWFsus7w%3D%3D,https://www.linkedin.com/company/13423/
UN Tourism,555 empleados,Desarrollo y comercio internacional,735841,[4],20 mills. US$ - 50 mills. US$,https://www.linkedin.com/sales/search/company?page=4&savedSearchId=1980479034&sessionId=HsREK9pxRlOyzkrWFsus7w%3D%3D,https://www.linkedin.com/company/735841/
Universidad de Granada,7 mil+ empleados,Enseñanza superior,28491,[4],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?page=4&savedSearchId=1980479034&sessionId=HsREK9pxRlOyzkrWFsus7w%3D%3D,https://www.linkedin.com/company/28491/
UST España & Latam,796 empleados,Servicios y consultoría de TI,18326,[4],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?page=4&savedSearchId=1980479034&sessionId=HsREK9pxRlOyzkrWFsus7w%3D%3D,https://www.linkedin.com/company/18326/
PwC España,"3,5 mil+ empleados",Consultoría y servicios a empresas,3246816,[4],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?page=4&savedSearchId=1980479034&sessionId=HsREK9pxRlOyzkrWFsus7w%3D%3D,https://www.linkedin.com/company/3246816/
Grupo Planeta,3 mil+ empleados,"Tecnología, información y medios de comunicación",15243,[4],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?page=4&savedSearchId=1980479034&sessionId=HsREK9pxRlOyzkrWFsus7w%3D%3D,https://www.linkedin.com/company/15243/
CAF (Construcciones y Auxiliar de Ferrocarriles),7 mil+ empleados,Fabricación de vehículos de motor,472210,[4],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?page=4&savedSearchId=1980479034&sessionId=HsREK9pxRlOyzkrWFsus7w%3D%3D,https://www.linkedin.com/company/472210/
EAE Business School,2 mil+ empleados,Enseñanza superior,68051,[4],20 mills. US$ - 50 mills. US$,https://www.linkedin.com/sales/search/company?page=4&savedSearchId=1980479034&sessionId=HsREK9pxRlOyzkrWFsus7w%3D%3D,https://www.linkedin.com/company/68051/
Management Solutions,"4,5 mil+ empleados",Consultoría y servicios a empresas,11888,[4],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=4&savedSearchId=1980479034&sessionId=HsREK9pxRlOyzkrWFsus7w%3D%3D,https://www.linkedin.com/company/11888/
Accenture España,"5,5 mil+ empleados",Consultoría y servicios a empresas,2723431,[4],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?page=4&savedSearchId=1980479034&sessionId=HsREK9pxRlOyzkrWFsus7w%3D%3D,https://www.linkedin.com/company/2723431/
Exceltic,526 empleados,Servicios de ingeniería,535627,[4],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=4&savedSearchId=1980479034&sessionId=HsREK9pxRlOyzkrWFsus7w%3D%3D,https://www.linkedin.com/company/535627/
Sanitas,"9,5 mil+ empleados",Servicios de bienestar y mantenimiento físico,15727,[4],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?page=4&savedSearchId=1980479034&sessionId=HsREK9pxRlOyzkrWFsus7w%3D%3D,https://www.linkedin.com/company/15727/
COSENTINO,"3,5 mil+ empleados",Comercio al por mayor de materiales de construcción,816593,[4],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=4&savedSearchId=1980479034&sessionId=HsREK9pxRlOyzkrWFsus7w%3D%3D,https://www.linkedin.com/company/816593/
Palladium Hotel Group,"2,5 mil+ empleados",Hostelería,580209,[4],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?page=4&savedSearchId=1980479034&sessionId=HsREK9pxRlOyzkrWFsus7w%3D%3D,https://www.linkedin.com/company/580209/
Universitat Politècnica de València (UPV),5 mil+ empleados,Enseñanza superior,166618,[4],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=4&savedSearchId=1980479034&sessionId=HsREK9pxRlOyzkrWFsus7w%3D%3D,https://www.linkedin.com/company/166618/
ZARA HOME,"7,5 mil+ empleados",Industria textil y moda,27060496,[4],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?page=4&savedSearchId=1980479034&sessionId=HsREK9pxRlOyzkrWFsus7w%3D%3D,https://www.linkedin.com/company/27060496/
